Peak,Mean,Standard Deviation,Variance,Median,Skew,Kurtosis,Label
4.24,1.498,1.054,1.111,1.17,1.001,0.065,2
2.74,1.329,0.876,0.767,1.415,-0.045,-1.504,2
2.61,1.145,0.636,0.405,1.219,0.05,-1.119,2
2.95,1.236,0.843,0.71,1.171,0.429,-0.707,2
2.58,1.113,0.658,0.432,0.965,0.237,-1.156,2
2.72,0.931,0.79,0.624,0.63,0.836,-0.528,2
3.01,1.632,0.865,0.747,1.962,-0.172,-1.492,2
3.6,1.635,1.154,1.331,1.255,0.244,-1.474,2
2.69,1.546,0.544,0.296,1.54,-0.344,0.426,2
2.56,1.357,0.622,0.387,1.53,-0.228,-1.298,2
2.38,1.47,0.655,0.429,1.664,-0.565,-0.659,2
2.27,0.902,0.498,0.248,0.986,0.124,-0.927,2
2.48,1.298,0.559,0.312,1.466,-0.339,-0.995,2
2.59,1.302,0.681,0.464,1.464,-0.307,-1.293,2
2.42,1.169,0.572,0.327,1.241,0.146,-0.705,2
2.71,1.483,0.745,0.555,1.623,-0.508,-0.923,2
2.24,0.954,0.542,0.294,0.948,0.199,-0.475,2
2.65,1.167,0.592,0.351,1.08,0.527,0.203,2
3.04,1.182,0.81,0.656,0.84,0.486,-0.951,2
2.05,1.223,0.585,0.342,1.409,-0.604,-0.977,2
2.13,1.065,0.52,0.271,1.03,-0.112,-0.631,2
1.52,0.696,0.258,0.066,0.598,0.129,-0.209,2
2.49,1.202,0.629,0.396,1.059,0.355,-1.213,2
2.42,1.179,0.614,0.377,1.153,0.387,-0.898,2
2.82,1.25,0.703,0.495,1.255,-0.03,-1.044,2
2.69,1.423,0.739,0.546,1.372,-0.205,-1.164,2
3.08,1.431,0.885,0.783,1.119,0.328,-1.291,2
2.09,1.227,0.375,0.141,1.275,0.151,-0.488,2
1.54,0.832,0.333,0.111,0.87,-0.235,-0.547,2
1.89,0.998,0.492,0.242,0.9,0.027,-0.9,2
2.41,1.254,0.624,0.389,1.34,-0.152,-1.242,2
2,0.854,0.457,0.208,0.804,0.304,-0.655,2
2.76,1.468,0.589,0.347,1.327,0.354,-0.505,2
2.84,1.262,0.751,0.564,1.067,0.286,-1.31,2
4.15,2.057,1.162,1.351,1.83,0.232,-1.2,2
2.39,1.221,0.497,0.247,1.152,0.115,-0.701,2
2.42,0.889,0.644,0.415,0.626,0.638,-0.576,2
2.06,1.009,0.532,0.283,0.917,-0.089,-1.514,2
1.88,0.654,0.354,0.125,0.589,0.839,0.267,2
2.2,1.035,0.55,0.302,1.071,-0.143,-1.448,2
2.3,1.232,0.658,0.433,1.227,-0.113,-1.413,2
3.28,1.702,0.895,0.801,1.659,0.035,-0.974,2
2.91,1.327,0.719,0.517,1.267,0.47,-0.792,2
3.99,1.561,0.896,0.803,1.506,0.514,-0.292,2
3.15,1.65,0.794,0.63,1.601,0.01,-1.024,2
2.13,1.152,0.603,0.363,1.039,-0.018,-1.293,2
2.13,0.997,0.514,0.265,1.12,-0.171,-0.962,2
2.2,0.996,0.564,0.318,1.01,0.375,-0.889,2
2.89,1.576,0.742,0.551,1.584,0.144,-1.194,2
