Width,Height,Type,Merging Num,Avg Intensity of Defect,Angle of Min Box,Area of Defect,Area of Min Box,Border Pixel,Compactness,AR (Aspect Ratio) of Box,AR of Min Box,Rectangularity,Dispersion,Label
9,16,1,0,70.7143,-90,56,120,32,0.0547,1.7778,1.875,0.4667,24.6265,0
6,5,1,0,47.3333,-14.0362,15,19.0588,13,0.0888,1.2,1,0.787,15.9314,0
15,13,1,0,67.9027,-77.4712,113,158.6118,39,0.0743,1.1538,1.1776,0.7124,17.3138,1
14,30,1,0,58.537,-62.354,162,301.2811,62,0.0421,2.1429,2.6039,0.5377,28.7677,1
3,5,1,0,30.625,-45,8,6,8,0.125,1.6667,3,1.3333,4.1726,1
3,2,1,0,40.8333,-90,6,2,6,0.1667,1.5,2,3,22.3376,0
7,5,1,0,47.2308,-30.9638,13,18.5294,13,0.0769,1.4,2.8,0.7016,14.0069,1
3,3,1,0,29.2857,-45,7,4,6,0.1944,1,2,1.75,3.8173,1
7,9,1,0,40.7059,-60.2551,34,39.3077,21,0.0771,1.2857,2.0857,0.865,5.0062,1
6,4,1,0,39.8,-33.6901,15,14.5385,13,0.0888,1.5,2.3333,1.0317,5.4143,0
23,8,1,0,44.9398,-90,83,154,52,0.0307,2.875,3.1429,0.539,22.3908,1
3,5,1,0,33,-90,10,8,9,0.1235,1.6667,2,1.25,6.2716,1
34,12,1,0,67.6026,-80.1342,156,318.134,82,0.0232,2.8333,3.682,0.4904,27.0027,1
4,6,1,0,47.1176,-90,17,15,12,0.1181,1.5,1.6667,1.1333,8.4327,0
7,4,1,0,32.6957,-90,23,18,15,0.1022,1.75,2,1.2778,6.1307,1
13,7,1,0,30.1429,0,63,72,27,0.0864,1.8571,2,0.875,7.2665,1
4,5,1,0,34.25,-45,12,10.5,11,0.0992,1.25,2.3333,1.1429,2.0057,0
8,5,1,1,35.5833,-63.435,12,17,12,0.0833,1.6,3.4,0.7059,7.6925,1
25,16,1,1,54.5952,-72.3499,84,239.5047,45,0.0415,1.5625,2.7361,0.3507,13.7114,1
7,6,1,0,50.45,-45,20,22.5,15,0.0889,1.1667,1.8,0.8889,7.8101,0
19,21,1,0,55.5864,-26.5651,191,286.2,54,0.0655,1.1053,1.963,0.6674,18.4057,1
11,12,1,0,79.5686,-40.6013,51,102.8235,35,0.0416,1.0909,1.0326,0.496,34.8317,0
13,17,1,0,42.9708,-23.9625,137,183.0928,43,0.0741,1.3077,1.2333,0.7483,21.1879,1
